image_id,B1_cc,M1_cc,delta_cc,B1_sim,M1_sim,delta_sim,B1_kld,M1_kld,delta_kld
COCO_val2014_000000000133,0.8297582268714905,0.7723323702812195,-0.057425856590270996,0.8010859489440918,0.7630645036697388,-0.03802144527435303,0.13884004950523376,0.1817428171634674,0.04290276765823364
COCO_val2014_000000000164,0.7863590121269226,0.8320950865745544,0.045736074447631836,0.719765305519104,0.7416859865188599,0.02192068099975586,0.24830955266952515,0.226737380027771,-0.02157217264175415
COCO_val2014_000000000192,0.9537181854248047,0.9420070052146912,-0.011711180210113525,0.8466309309005737,0.8217493295669556,-0.024881601333618164,0.09385040402412415,0.11744007468223572,0.023589670658111572
COCO_val2014_000000000257,0.8720092177391052,0.9166087508201599,0.04459953308105469,0.7818591594696045,0.8093723058700562,0.02751314640045166,0.17012695968151093,0.1391756534576416,-0.030951306223869324
COCO_val2014_000000000397,0.8371044993400574,0.8593084812164307,0.02220398187637329,0.8140032291412354,0.8262108564376831,0.012207627296447754,0.12327641248703003,0.10867656022310257,-0.01459985226392746
COCO_val2014_000000000520,0.9169251918792725,0.87208092212677,-0.04484426975250244,0.8440072536468506,0.8044183254241943,-0.03958892822265625,0.08583822846412659,0.1313984990119934,0.04556027054786682
COCO_val2014_000000000589,0.9587243795394897,0.971466064453125,0.012741684913635254,0.8200660943984985,0.8590120673179626,0.03894597291946411,0.13182374835014343,0.06755712628364563,-0.0642666220664978
COCO_val2014_000000000692,0.9213082194328308,0.9338136315345764,0.012505412101745605,0.7915157675743103,0.796562910079956,0.005047142505645752,0.1261827051639557,0.14573848247528076,0.019555777311325073
COCO_val2014_000000000715,0.8815168738365173,0.885613203048706,0.004096329212188721,0.8545660972595215,0.8516185879707336,-0.002947509288787842,0.06185940280556679,0.0711049884557724,0.009245585650205612
COCO_val2014_000000000761,0.9370755553245544,0.939799964427948,0.0027244091033935547,0.8184894323348999,0.828460693359375,0.009971261024475098,0.12070891261100769,0.10930486023426056,-0.011404052376747131
COCO_val2014_000000000810,0.8632211685180664,0.8718758821487427,0.00865471363067627,0.7278695106506348,0.7315325736999512,0.0036630630493164062,0.212490975856781,0.210411936044693,-0.0020790398120880127
COCO_val2014_000000000987,0.8672545552253723,0.9033647775650024,0.03611022233963013,0.7902690172195435,0.8240813612937927,0.03381234407424927,0.163887619972229,0.10747096687555313,-0.05641665309667587
COCO_val2014_000000001000,0.8961068987846375,0.9191652536392212,0.02305835485458374,0.797856867313385,0.8178099989891052,0.019953131675720215,0.14665594696998596,0.10201967507600784,-0.04463627189397812
COCO_val2014_000000001270,0.8398836851119995,0.8327323198318481,-0.007151365280151367,0.7235966920852661,0.6872044801712036,-0.0363922119140625,0.23331283032894135,0.3585187494754791,0.12520591914653778
COCO_val2014_000000001369,0.9519287347793579,0.959097146987915,0.007168412208557129,0.8223145604133606,0.8312696814537048,0.008955121040344238,0.13233806192874908,0.10729888081550598,-0.025039181113243103
COCO_val2014_000000001532,0.8990845084190369,0.892429769039154,-0.0066547393798828125,0.6890238523483276,0.7077258229255676,0.01870197057723999,0.31436407566070557,0.2748594582080841,-0.03950461745262146
COCO_val2014_000000001561,0.8455852270126343,0.8922408223152161,0.04665559530258179,0.6961603164672852,0.7263385057449341,0.030178189277648926,0.29527246952056885,0.2238454818725586,-0.07142698764801025
COCO_val2014_000000001668,0.8821436762809753,0.8655571341514587,-0.0165865421295166,0.6438640356063843,0.6494311094284058,0.005567073822021484,0.464826762676239,0.46708834171295166,0.0022615790367126465
COCO_val2014_000000001675,0.8682094812393188,0.8409793972969055,-0.02723008394241333,0.5695058703422546,0.5368711948394775,-0.0326346755027771,0.5597577095031738,0.623181164264679,0.06342345476150513
COCO_val2014_000000001799,0.838096559047699,0.8815246820449829,0.043428122997283936,0.7370072603225708,0.7695631980895996,0.03255593776702881,0.2279716283082962,0.16828764975070953,-0.05968397855758667
COCO_val2014_000000002124,0.8926626443862915,0.8883498907089233,-0.004312753677368164,0.8156698942184448,0.8077539205551147,-0.007915973663330078,0.10737967491149902,0.11202414333820343,0.004644468426704407
COCO_val2014_000000002154,0.8514990210533142,0.871660590171814,0.020161569118499756,0.7668386697769165,0.779916524887085,0.013077855110168457,0.2187321037054062,0.18521833419799805,-0.03351376950740814
COCO_val2014_000000002179,0.7775022387504578,0.7933064103126526,0.015804171562194824,0.7195495367050171,0.722626268863678,0.0030767321586608887,0.4068046808242798,0.3452942967414856,-0.06151038408279419
COCO_val2014_000000002302,0.9446953535079956,0.9495820999145508,0.004886746406555176,0.7906192541122437,0.7975603342056274,0.006941080093383789,0.22431403398513794,0.24013054370880127,0.01581650972366333
COCO_val2014_000000002346,0.9270511865615845,0.9325196146965027,0.005468428134918213,0.8265306353569031,0.8240998983383179,-0.002430737018585205,0.10118697583675385,0.08872389793395996,-0.012463077902793884
COCO_val2014_000000002640,0.8972048759460449,0.8738927245140076,-0.023312151432037354,0.8095274567604065,0.7901033163070679,-0.019424140453338623,0.14038240909576416,0.15606610476970673,0.015683695673942566
COCO_val2014_000000002822,0.8753002285957336,0.8750638961791992,-0.00023633241653442383,0.7612324953079224,0.7661302089691162,0.004897713661193848,0.2156575620174408,0.21322336792945862,-0.0024341940879821777
COCO_val2014_000000002839,0.8810537457466125,0.8886563181877136,0.007602572441101074,0.7789612412452698,0.7366271018981934,-0.042334139347076416,0.1881551742553711,0.23251453042030334,0.04435935616493225
COCO_val2014_000000003001,0.8902738094329834,0.8922788500785828,0.0020050406455993652,0.8009219169616699,0.8072028756141663,0.006280958652496338,0.1282198578119278,0.13023409247398376,0.0020142346620559692
COCO_val2014_000000003067,0.8706521987915039,0.902914822101593,0.03226262331008911,0.77783203125,0.8114664554595947,0.03363442420959473,0.1940857321023941,0.12316793948411942,-0.07091779261827469
COCO_val2014_000000003091,0.8647114038467407,0.8631905317306519,-0.0015208721160888672,0.8105383515357971,0.7968409657478333,-0.013697385787963867,0.1263810396194458,0.14485038816928864,0.018469348549842834
COCO_val2014_000000003192,0.9415456056594849,0.9504634737968445,0.00891786813735962,0.8649442195892334,0.8781135082244873,0.013169288635253906,0.06249212101101875,0.04984256625175476,-0.012649554759263992
COCO_val2014_000000003326,0.9288111329078674,0.9446357488632202,0.015824615955352783,0.8111462593078613,0.818769097328186,0.007622838020324707,0.1769474744796753,0.22363972663879395,0.04669225215911865
COCO_val2014_000000003590,0.9035837054252625,0.945476233959198,0.04189252853393555,0.7832111120223999,0.8225630521774292,0.0393519401550293,0.1719016283750534,0.11758854985237122,-0.05431307852268219
COCO_val2014_000000003716,0.8637047410011292,0.9345368146896362,0.07083207368850708,0.6518174409866333,0.7545292377471924,0.10271179676055908,0.4612787365913391,0.22775927186012268,-0.23351946473121643
COCO_val2014_000000003742,0.9109959602355957,0.8976486325263977,-0.013347327709197998,0.8217755556106567,0.7992755770683289,-0.02249997854232788,0.13842040300369263,0.1749120056629181,0.036491602659225464
COCO_val2014_000000003779,0.76661616563797,0.7847699522972107,0.018153786659240723,0.7649636268615723,0.736579954624176,-0.02838367223739624,0.20124083757400513,0.22802942991256714,0.02678859233856201
COCO_val2014_000000003983,0.9162788391113281,0.9076371788978577,-0.008641660213470459,0.8449604511260986,0.814456045627594,-0.03050440549850464,0.085847407579422,0.10349662601947784,0.017649218440055847
COCO_val2014_000000004265,0.8599058389663696,0.8085209727287292,-0.05138486623764038,0.7962430715560913,0.7582270503044128,-0.03801602125167847,0.13287250697612762,0.21038800477981567,0.07751549780368805
COCO_val2014_000000004296,0.8093200325965881,0.831447184085846,0.022127151489257812,0.7882084250450134,0.8061617612838745,0.017953336238861084,0.13257713615894318,0.12021908164024353,-0.012358054518699646
COCO_val2014_000000005001,0.6948256492614746,0.7084904909133911,0.013664841651916504,0.6493114233016968,0.6641948819160461,0.014883458614349365,0.43462085723876953,0.35419344902038574,-0.08042740821838379
COCO_val2014_000000005105,0.8546919226646423,0.9074169993400574,0.05272507667541504,0.7334661483764648,0.7707692384719849,0.03730309009552002,0.29082438349723816,0.19848638772964478,-0.09233799576759338
COCO_val2014_000000005282,0.936407744884491,0.9368913769721985,0.00048363208770751953,0.8208596110343933,0.8182367086410522,-0.0026229023933410645,0.1188567653298378,0.12601035833358765,0.007153593003749847
COCO_val2014_000000005535,0.8021158576011658,0.8037177920341492,0.0016019344329833984,0.6899627447128296,0.6896703839302063,-0.000292360782623291,0.3307955265045166,0.31980234384536743,-0.01099318265914917
COCO_val2014_000000005816,0.8128389716148376,0.8095710873603821,-0.0032678842544555664,0.8227461576461792,0.8072409629821777,-0.015505194664001465,0.10119374096393585,0.12504878640174866,0.023855045437812805
COCO_val2014_000000005965,0.877090334892273,0.9369120001792908,0.05982166528701782,0.7782436013221741,0.8267379999160767,0.04849439859390259,0.1549893319606781,0.10599686950445175,-0.04899246245622635
COCO_val2014_000000006580,0.8457966446876526,0.7983273863792419,-0.047469258308410645,0.7575228810310364,0.7239149808883667,-0.03360790014266968,0.21731360256671906,0.27598875761032104,0.05867515504360199
COCO_val2014_000000006608,0.8958547115325928,0.9061665534973145,0.01031184196472168,0.8165980577468872,0.8112678527832031,-0.005330204963684082,0.12230175733566284,0.12018026411533356,-0.0021214932203292847
COCO_val2014_000000006701,0.9139243364334106,0.8920074701309204,-0.021916866302490234,0.7860265374183655,0.7462226152420044,-0.039803922176361084,0.1713537871837616,0.2518294155597687,0.08047562837600708
COCO_val2014_000000007274,0.8861131072044373,0.8415889143943787,-0.044524192810058594,0.7780905961990356,0.741971492767334,-0.03611910343170166,0.23928456008434296,0.3009025454521179,0.06161798536777496
COCO_val2014_000000007511,0.9372917413711548,0.9379294514656067,0.0006377100944519043,0.7931599617004395,0.7952764630317688,0.0021165013313293457,0.17902988195419312,0.19619707763195038,0.017167195677757263
COCO_val2014_000000007570,0.9426987171173096,0.9465034008026123,0.0038046836853027344,0.840685248374939,0.8364084959030151,-0.004276752471923828,0.09264832735061646,0.09107615053653717,-0.0015721768140792847
COCO_val2014_000000007574,0.8965298533439636,0.933476984500885,0.03694713115692139,0.7948013544082642,0.819466233253479,0.024664878845214844,0.14825934171676636,0.12064167857170105,-0.027617663145065308
COCO_val2014_000000007726,0.9133785367012024,0.9417544603347778,0.02837592363357544,0.7900811433792114,0.8227192759513855,0.03263813257217407,0.16195234656333923,0.1333809643983841,-0.02857138216495514
COCO_val2014_000000008005,0.8999717235565186,0.9045189619064331,0.004547238349914551,0.7819722890853882,0.8022295236587524,0.020257234573364258,0.14788039028644562,0.12793076038360596,-0.01994962990283966
COCO_val2014_000000008119,0.9259698390960693,0.930831789970398,0.004861950874328613,0.8348852396011353,0.8062893748283386,-0.02859586477279663,0.09206336736679077,0.12898731231689453,0.03692394495010376
COCO_val2014_000000008333,0.8536407351493835,0.8250921964645386,-0.02854853868484497,0.6807254552841187,0.6722813248634338,-0.008444130420684814,0.31785380840301514,0.34659138321876526,0.028737574815750122
COCO_val2014_000000008594,0.9157900810241699,0.9411485195159912,0.02535843849182129,0.775078296661377,0.8029661178588867,0.027887821197509766,0.20931485295295715,0.16170240938663483,-0.04761244356632233
COCO_val2014_000000008599,0.9352734684944153,0.9068021178245544,-0.02847135066986084,0.8271875977516174,0.8127061128616333,-0.01448148488998413,0.10897870361804962,0.1189073920249939,0.009928688406944275
COCO_val2014_000000008665,0.9099803566932678,0.926979660987854,0.01699930429458618,0.6113235354423523,0.6755633354187012,0.06423979997634888,0.5225780010223389,0.40330928564071655,-0.11926871538162231
COCO_val2014_000000008711,0.7661414742469788,0.7661312222480774,-1.0251998901367188e-05,0.7480594515800476,0.7198207378387451,-0.02823871374130249,0.21409298479557037,0.2176230102777481,0.0035300254821777344
COCO_val2014_000000009156,0.8457165360450745,0.7798188328742981,-0.06589770317077637,0.8052082061767578,0.7384293079376221,-0.06677889823913574,0.11992643028497696,0.19402167201042175,0.0740952417254448
COCO_val2014_000000009175,0.8344841003417969,0.8360872864723206,0.0016031861305236816,0.776585578918457,0.7670917510986328,-0.009493827819824219,0.18336597084999084,0.1830464005470276,-0.00031957030296325684
COCO_val2014_000000009236,0.9072332382202148,0.8740114569664001,-0.0332217812538147,0.8156198263168335,0.7708353400230408,-0.044784486293792725,0.11220092326402664,0.18728125095367432,0.07508032768964767
COCO_val2014_000000009400,0.8300248384475708,0.7956251502037048,-0.03439968824386597,0.7505804300308228,0.7244495749473572,-0.026130855083465576,0.22556445002555847,0.28146907687187195,0.05590462684631348
COCO_val2014_000000009483,0.8759276866912842,0.8576304912567139,-0.018297195434570312,0.7009739875793457,0.7031956911087036,0.00222170352935791,0.2829371690750122,0.29234182834625244,0.009404659271240234
COCO_val2014_000000009769,0.8585090637207031,0.9015014171600342,0.042992353439331055,0.7718808650970459,0.808777928352356,0.03689706325531006,0.17588476836681366,0.13423745334148407,-0.04164731502532959
COCO_val2014_000000010138,0.9193376898765564,0.928672730922699,0.009335041046142578,0.7931632995605469,0.8057947158813477,0.012631416320800781,0.15507009625434875,0.1322578489780426,-0.022812247276306152
COCO_val2014_000000010707,0.8501380085945129,0.8438231945037842,-0.00631481409072876,0.7747474908828735,0.7568840384483337,-0.017863452434539795,0.21951884031295776,0.19141444563865662,-0.028104394674301147
COCO_val2014_000000011305,0.7543271780014038,0.8216160535812378,0.06728887557983398,0.6957063674926758,0.7174584865570068,0.021752119064331055,0.2995762526988983,0.25377339124679565,-0.04580286145210266
COCO_val2014_000000011360,0.9080244898796082,0.917656421661377,0.009631931781768799,0.8213030099868774,0.8234156966209412,0.0021126866340637207,0.10921716690063477,0.10277297347784042,-0.006444193422794342
COCO_val2014_000000011696,0.7983723282814026,0.8982937932014465,0.09992146492004395,0.6375879049301147,0.7504312992095947,0.11284339427947998,0.5261174440383911,0.31011486053466797,-0.21600258350372314
COCO_val2014_000000011796,0.9562466740608215,0.9679144620895386,0.011667788028717041,0.8357743620872498,0.849911093711853,0.014136731624603271,0.09891614317893982,0.07801276445388794,-0.02090337872505188
COCO_val2014_000000012085,0.9091699123382568,0.8783819675445557,-0.030787944793701172,0.7697145938873291,0.7304109930992126,-0.039303600788116455,0.21388408541679382,0.284843772649765,0.07095968723297119
COCO_val2014_000000012230,0.7213757038116455,0.7242103815078735,0.0028346776962280273,0.7770705223083496,0.7754839658737183,-0.0015865564346313477,0.16675621271133423,0.1828581988811493,0.016101986169815063
COCO_val2014_000000012375,0.9194864630699158,0.9067718982696533,-0.012714564800262451,0.8443492650985718,0.8400619029998779,-0.004287362098693848,0.07156558334827423,0.07192818075418472,0.00036259740591049194
COCO_val2014_000000012443,0.780898928642273,0.84357750415802,0.06267857551574707,0.6122885942459106,0.6540901064872742,0.041801512241363525,0.6043670773506165,0.5922591686248779,-0.012107908725738525
COCO_val2014_000000012700,0.7915281057357788,0.8374130129814148,0.045884907245635986,0.7198101282119751,0.745887815952301,0.026077687740325928,0.2651435136795044,0.21729323267936707,-0.04785028100013733
COCO_val2014_000000012991,0.8479019999504089,0.9176756143569946,0.0697736144065857,0.6867720484733582,0.7473147511482239,0.06054270267486572,0.3031349182128906,0.21200087666511536,-0.09113404154777527
COCO_val2014_000000013383,0.7711878418922424,0.7791262865066528,0.0079384446144104,0.7268566489219666,0.7247177362442017,-0.0021389126777648926,0.26077985763549805,0.24368983507156372,-0.017090022563934326
COCO_val2014_000000013659,0.8721821904182434,0.8930099010467529,0.02082771062850952,0.7412446737289429,0.7720730304718018,0.030828356742858887,0.2345929741859436,0.232904314994812,-0.0016886591911315918
COCO_val2014_000000013729,0.8662393689155579,0.87430739402771,0.0080680251121521,0.7417625784873962,0.7503054738044739,0.008542895317077637,0.35255658626556396,0.2615293860435486,-0.09102720022201538
COCO_val2014_000000014108,0.8884552121162415,0.8705974221229553,-0.017857789993286133,0.7669335603713989,0.7599601745605469,-0.006973385810852051,0.2221103310585022,0.2513338327407837,0.029223501682281494
COCO_val2014_000000014248,0.9608386754989624,0.9292977452278137,-0.03154093027114868,0.8010871410369873,0.7763389348983765,-0.02474820613861084,0.16213074326515198,0.2075500190258026,0.045419275760650635
