image_id,cc,sim,kld
COCO_val2014_000000157469,0.908811092376709,0.7785268425941467,0.17128436267375946
COCO_val2014_000000211476,0.8535810112953186,0.8109593391418457,0.10877860337495804
COCO_val2014_000000569319,0.6282048225402832,0.5036904811859131,0.6889271140098572
COCO_val2014_000000173693,0.928723156452179,0.5307705402374268,0.5952677726745605
COCO_val2014_000000543836,0.8912134766578674,0.7134283781051636,0.2987407445907593
COCO_val2014_000000106909,0.8845405578613281,0.818450927734375,0.10468335449695587
COCO_val2014_000000048475,0.8435371518135071,0.784295916557312,0.17943397164344788
COCO_val2014_000000042408,0.9157307147979736,0.8019976615905762,0.13350990414619446
COCO_val2014_000000034114,0.8343640565872192,0.7989129424095154,0.16285847127437592
COCO_val2014_000000081315,0.8192186951637268,0.7710002660751343,0.20970869064331055
COCO_val2014_000000462784,0.8619921207427979,0.7777625322341919,0.16393110156059265
COCO_val2014_000000152598,0.9637165665626526,0.8490215539932251,0.11545504629611969
COCO_val2014_000000134096,0.876099169254303,0.6431789398193359,0.3882691562175751
COCO_val2014_000000209898,0.9512485861778259,0.7163156270980835,0.28117913007736206
COCO_val2014_000000485673,0.8660707473754883,0.7208033800125122,0.3449628949165344
COCO_val2014_000000486457,0.8524132966995239,0.792609453201294,0.1387757658958435
COCO_val2014_000000142249,0.9195950627326965,0.7190126180648804,0.28239598870277405
COCO_val2014_000000365745,0.8662760853767395,0.7936444878578186,0.13346421718597412
COCO_val2014_000000200421,0.965263307094574,0.840545654296875,0.15151964128017426
COCO_val2014_000000564830,0.794356107711792,0.778679370880127,0.17464539408683777
COCO_val2014_000000256251,0.83636873960495,0.7379974126815796,0.2470577359199524
COCO_val2014_000000567881,0.9380821585655212,0.8474284410476685,0.07526999711990356
COCO_val2014_000000017425,0.8918377161026001,0.7614301443099976,0.22958171367645264
COCO_val2014_000000345434,0.8772256970405579,0.7436586618423462,0.28025031089782715
COCO_val2014_000000528201,0.9593153595924377,0.8140919804573059,0.15906675159931183
COCO_val2014_000000123622,0.8161337971687317,0.7710735201835632,0.16619548201560974
COCO_val2014_000000529234,0.9261174201965332,0.8145394325256348,0.12828490138053894
COCO_val2014_000000312632,0.8506112098693848,0.8091516494750977,0.1171087920665741
COCO_val2014_000000091326,0.8898167610168457,0.726944625377655,0.24662283062934875
COCO_val2014_000000093948,0.9149006009101868,0.7773116827011108,0.15993618965148926
COCO_val2014_000000188136,0.8791064023971558,0.8231651782989502,0.10295850038528442
COCO_val2014_000000527440,0.9049743413925171,0.7989848852157593,0.13076651096343994
COCO_val2014_000000267363,0.8411256074905396,0.7842592597007751,0.1604517698287964
COCO_val2014_000000165589,0.8613200187683105,0.817764401435852,0.10237659513950348
COCO_val2014_000000453283,0.882942259311676,0.782782793045044,0.14315173029899597
COCO_val2014_000000370462,0.7930840849876404,0.7091549038887024,0.26243120431900024
COCO_val2014_000000112437,0.8941318392753601,0.7106176614761353,0.274255633354187
COCO_val2014_000000041603,0.8525137305259705,0.7790706157684326,0.1460258662700653
COCO_val2014_000000000761,0.9370755553245544,0.8184894323348999,0.12070891261100769
COCO_val2014_000000122166,0.8806505799293518,0.7613467574119568,0.18534426391124725
COCO_val2014_000000284152,0.8773271441459656,0.786198079586029,0.15817585587501526
COCO_val2014_000000318888,0.8960013389587402,0.74946129322052,0.22396960854530334
COCO_val2014_000000511658,0.7173483371734619,0.677215576171875,0.37147006392478943
COCO_val2014_000000455859,0.8231296539306641,0.74212247133255,0.23186126351356506
COCO_val2014_000000153803,0.8719174861907959,0.7528513669967651,0.19517666101455688
COCO_val2014_000000078420,0.806754469871521,0.7644206881523132,0.17575015127658844
COCO_val2014_000000216790,0.822563648223877,0.7640461921691895,0.21659278869628906
COCO_val2014_000000474078,0.9351675510406494,0.8326799869537354,0.13530045747756958
COCO_val2014_000000264992,0.7683141827583313,0.5776825547218323,0.4814351797103882
COCO_val2014_000000104625,0.8478881120681763,0.7338491082191467,0.22308912873268127
COCO_val2014_000000070657,0.9049626588821411,0.8344504237174988,0.0909072756767273
COCO_val2014_000000463066,0.9325737953186035,0.6558377742767334,0.3675852417945862
COCO_val2014_000000208793,0.8551424741744995,0.696337103843689,0.3292199373245239
COCO_val2014_000000016896,0.672893226146698,0.6904683113098145,0.37527814507484436
COCO_val2014_000000332609,0.8550888299942017,0.69099360704422,0.298933207988739
COCO_val2014_000000188817,0.8264166116714478,0.7537975311279297,0.229631245136261
COCO_val2014_000000055768,0.9056978821754456,0.8471723794937134,0.07741797715425491
