image_id,cc,sim,kld
COCO_val2014_000000157469,0.8916105628013611,0.7558126449584961,0.21471945941448212
COCO_val2014_000000211476,0.8202301263809204,0.7696768045425415,0.16277199983596802
COCO_val2014_000000569319,0.769965648651123,0.590322732925415,0.4648274779319763
COCO_val2014_000000173693,0.9603638648986816,0.6848158836364746,0.3316892981529236
COCO_val2014_000000543836,0.8570377230644226,0.6919384002685547,0.33757513761520386
COCO_val2014_000000106909,0.8606762886047363,0.800662636756897,0.11866818368434906
COCO_val2014_000000048475,0.8308528661727905,0.7676485776901245,0.19466392695903778
COCO_val2014_000000042408,0.9262909293174744,0.8103731870651245,0.13529746234416962
COCO_val2014_000000034114,0.8282631635665894,0.789531409740448,0.17869320511817932
COCO_val2014_000000081315,0.8090624213218689,0.7708898782730103,0.20810091495513916
COCO_val2014_000000462784,0.8027099370956421,0.7237844467163086,0.2419985681772232
COCO_val2014_000000152598,0.9631600975990295,0.839676022529602,0.10682544112205505
COCO_val2014_000000134096,0.88368821144104,0.6737203598022461,0.3210446834564209
COCO_val2014_000000209898,0.9576910138130188,0.7640140056610107,0.26769980788230896
COCO_val2014_000000485673,0.850686252117157,0.6628838777542114,0.5685425400733948
COCO_val2014_000000486457,0.843586802482605,0.7766621112823486,0.1506580114364624
COCO_val2014_000000142249,0.9361185431480408,0.7436220645904541,0.250405877828598
COCO_val2014_000000365745,0.8998944163322449,0.8227338790893555,0.10040412843227386
COCO_val2014_000000200421,0.9549117684364319,0.8183214664459229,0.15247441828250885
COCO_val2014_000000564830,0.8712592124938965,0.8081945180892944,0.12351328134536743
COCO_val2014_000000256251,0.8081377148628235,0.725734531879425,0.28379255533218384
COCO_val2014_000000567881,0.9126996397972107,0.8114179372787476,0.0977751687169075
COCO_val2014_000000017425,0.8669037222862244,0.7274940013885498,0.2528444528579712
COCO_val2014_000000345434,0.9029080867767334,0.7511630654335022,0.27768170833587646
COCO_val2014_000000528201,0.9631402492523193,0.8367683291435242,0.10121826082468033
COCO_val2014_000000123622,0.7914972305297852,0.7481249570846558,0.1943257600069046
COCO_val2014_000000529234,0.9374995827674866,0.8299621343612671,0.11068088561296463
COCO_val2014_000000312632,0.8717482089996338,0.8176240921020508,0.10729116201400757
COCO_val2014_000000091326,0.8849551677703857,0.7351822853088379,0.2301664650440216
COCO_val2014_000000093948,0.9088237285614014,0.7732685804367065,0.21185816824436188
COCO_val2014_000000188136,0.9138084650039673,0.8395698070526123,0.07658375799655914
COCO_val2014_000000527440,0.8645145297050476,0.7725625038146973,0.16459456086158752
COCO_val2014_000000267363,0.8388382196426392,0.7775838971138,0.17391544580459595
COCO_val2014_000000165589,0.8739746809005737,0.8118541836738586,0.12050685286521912
COCO_val2014_000000453283,0.9314866065979004,0.8412420749664307,0.08544838428497314
COCO_val2014_000000370462,0.7917993664741516,0.7179177403450012,0.2434985190629959
COCO_val2014_000000112437,0.8985443115234375,0.7258383631706238,0.25096777081489563
COCO_val2014_000000041603,0.8401479125022888,0.7556778192520142,0.20574066042900085
COCO_val2014_000000000761,0.939799964427948,0.828460693359375,0.10930486023426056
COCO_val2014_000000122166,0.9115931391716003,0.8085031509399414,0.13960763812065125
COCO_val2014_000000284152,0.8732824325561523,0.7635239362716675,0.19638195633888245
COCO_val2014_000000318888,0.8770191669464111,0.7369688153266907,0.21814101934432983
COCO_val2014_000000511658,0.7047377824783325,0.6529883146286011,0.5009843111038208
COCO_val2014_000000455859,0.8698781728744507,0.7560068964958191,0.22056186199188232
COCO_val2014_000000153803,0.8290229439735413,0.7238231897354126,0.2221711277961731
COCO_val2014_000000078420,0.8057277798652649,0.7580270767211914,0.17718079686164856
COCO_val2014_000000216790,0.769053041934967,0.7001323699951172,0.36320945620536804
COCO_val2014_000000474078,0.9356162548065186,0.8184126019477844,0.1474325805902481
COCO_val2014_000000264992,0.7626394629478455,0.6004723310470581,0.4240674078464508
COCO_val2014_000000104625,0.8250092267990112,0.7205567359924316,0.2253286987543106
COCO_val2014_000000070657,0.9089513421058655,0.8325158357620239,0.10003708302974701
COCO_val2014_000000463066,0.9028984308242798,0.7095837593078613,0.3322846293449402
COCO_val2014_000000208793,0.8678396344184875,0.7392876148223877,0.23033855855464935
COCO_val2014_000000016896,0.7267128825187683,0.7143069505691528,0.35885757207870483
COCO_val2014_000000332609,0.8455790877342224,0.7238105535507202,0.2555014193058014
COCO_val2014_000000188817,0.7688853144645691,0.7160172462463379,0.3377779424190521
COCO_val2014_000000055768,0.8293510675430298,0.7785141468048096,0.1748412847518921
COCO_val2014_000000555953,0.8821010589599609,0.7748442888259888,0.18741929531097412
COCO_val2014_000000301735,0.9164305925369263,0.7777590155601501,0.16769562661647797
COCO_val2014_000000135579,0.9437410235404968,0.8502930402755737,0.0939784049987793
COCO_val2014_000000134688,0.9130759835243225,0.8119847774505615,0.09985508024692535
COCO_val2014_000000567494,0.9306060075759888,0.7510115504264832,0.34418147802352905
COCO_val2014_000000549230,0.8203240633010864,0.706106960773468,0.28790920972824097
COCO_val2014_000000415646,0.7962050437927246,0.7348364591598511,0.23038238286972046
COCO_val2014_000000534734,0.8115934133529663,0.693457841873169,0.34447163343429565
COCO_val2014_000000198563,0.9563448429107666,0.814877450466156,0.14408540725708008
COCO_val2014_000000448923,0.7849221229553223,0.7658244967460632,0.21991533041000366
COCO_val2014_000000525024,0.9192805886268616,0.8262733221054077,0.09823845326900482
COCO_val2014_000000000987,0.9033647775650024,0.8240813612937927,0.10747096687555313
COCO_val2014_000000244159,0.8743826150894165,0.7965255975723267,0.1299625188112259
COCO_val2014_000000301582,0.9262617826461792,0.7895389795303345,0.15757393836975098
COCO_val2014_000000296243,0.8776312470436096,0.7918872833251953,0.15589532256126404
COCO_val2014_000000546928,0.903988242149353,0.7727463245391846,0.15647253394126892
COCO_val2014_000000196885,0.9668851494789124,0.832695722579956,0.15270587801933289
COCO_val2014_000000166287,0.8698008060455322,0.7465471625328064,0.20976032316684723
COCO_val2014_000000493196,0.9284732341766357,0.8023039102554321,0.10519218444824219
COCO_val2014_000000520707,0.8841316103935242,0.7409735321998596,0.21427753567695618
COCO_val2014_000000557150,0.9309701919555664,0.8053929805755615,0.1060442253947258
COCO_val2014_000000441253,0.8812868595123291,0.7683141231536865,0.22718310356140137
COCO_val2014_000000135976,0.8060674667358398,0.7736061811447144,0.16629838943481445
COCO_val2014_000000183905,0.7808226943016052,0.6736992001533508,0.3295239508152008
COCO_val2014_000000025550,0.8678608536720276,0.7411683797836304,0.21922938525676727
COCO_val2014_000000279145,0.7750359177589417,0.7555289268493652,0.17496712505817413
COCO_val2014_000000564129,0.8255085349082947,0.725620448589325,0.2538214325904846
COCO_val2014_000000361527,0.590052604675293,0.6395400166511536,0.42008426785469055
COCO_val2014_000000182233,0.8679235577583313,0.7657092809677124,0.2360651046037674
COCO_val2014_000000334975,0.8680887222290039,0.7901097536087036,0.1784011423587799
COCO_val2014_000000240111,0.9048187136650085,0.7974265217781067,0.15625795722007751
COCO_val2014_000000557552,0.8775754570960999,0.7885621786117554,0.15535417199134827
COCO_val2014_000000092801,0.7145333290100098,0.5611706972122192,0.7793864011764526
